"","X","Country","Country.Other","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","ActiveCases","Serious.Critical","Tot.Cases.1M.pop","Deaths.1M.pop","TotalTests","Tests.1M.pop","Population","Continent","Case.Fatality.rate","GDP","GDP.for.health.expenditure","Population.1","CO2.emission.per.capita","Life.Expectancy","Govhealthexp"
"165",187,179,"Saint Martin",39,NA,3,NA,30,6,1,1011,78,NA,NA,38585,NA,7.69230769230769,NA,NA,NA,NA,NA,NA
"166",126,118,"San Marino",655,1,41,NA,211,403,1,19308,1209,3610,106417,33923,NA,6.25954198473282,"47932,214","7,364",33785,NA,NA,"4 370"
"167",154,146,"Sao Tome and Principe",246,NA,7,NA,4,235,NA,1125,32,175,800,218653,NA,2.84552845528455,"2036,124","6,230",211028,0.581,67.5,"209"
"168",22,14,"Saudi Arabia",57345,NA,320,NA,28748,28277,237,1650,9,601954,17324,34747330,NA,0.558025983084837,"22533,259",NA,33699947,19.441,74.5,NA
"169",82,74,"Senegal",2617,73,30,4,1133,1454,6,157,2,24599,1474,16687100,NA,1.1463507833397,"1494,314","4,134",15854360,0.625,66.7,"143"
"170",53,45,"Serbia",10699,NA,231,NA,4799,5669,16,1224,26,185385,21208,8741321,NA,2.15908028787737,"7991,582","8,434",6982604,5.283,75.6,"1 382"
"171",213,205,"Seychelles",11,NA,0,NA,11,0,NA,112,NA,NA,NA,98275,NA,0,"17178,633","5,007",96762,5.419,73.2,"1 485"
"172",134,126,"Sierra Leone",519,NA,33,NA,148,338,NA,65,4,NA,NA,7956645,NA,6.35838150289017,"557,073","13,421",7650154,0.187,51,"205"
"173",34,26,"Singapore",28794,451,22,NA,9835,18937,12,4926,4,246254,42132,5844888,NA,0.0764048065569216,"64829,222","4,440",5638676,10.306,83.1,"4 270"
"174",178,170,"Sint Maarten",77,NA,15,NA,54,8,7,1798,350,414,9669,42817,NA,19.4805194805195,NA,NA,NA,NA,NA,NA
"175",99,91,"Slovakia",1495,NA,28,NA,1192,275,3,274,5,145474,26647,5459339,NA,1.87290969899666,"20494,627","6,743",5446771,5.662,76.7,"2 184"
"176",100,92,"Slovenia",1467,1,104,NA,1335,28,5,706,50,70970,34138,2078905,NA,7.0892978868439,"27452,323","8,187",2073894,6.214,88,"2 961"
"177",101,93,"Somalia",1455,NA,57,NA,163,1235,2,92,4,NA,NA,15835721,NA,3.91752577319588,NA,NA,15008154,0.045,55,NA
"178",44,36,"South Africa",16433,NA,286,NA,7298,8849,119,277,5,475071,8022,59218133,NA,1.7404004138015,"6193,171","8,113",57779622,8.979,62.9,"1 098"
"179",152,144,"South Sudan",290,NA,4,NA,4,282,NA,26,0.4,3356,300,11177895,NA,1.37931034482759,NA,"9,761",10975920,0.142,57.3,"176"
"180",11,3,"Spain",278188,NA,27709,NA,196958,53521,1152,5950,593,3037840,64977,46752703,NA,9.9605302888694,"30734,119","8,873",46796540,5.034,82.8,"3 469"
"181",110,102,"Sri Lanka",992,NA,9,NA,569,414,1,46,0.4,45351,2119,21402783,NA,0.907258064516129,NA,"3,811",21670000,0.885,74.9,"504"
"182",218,210,"St. Barth",6,NA,0,NA,6,0,NA,608,NA,NA,NA,9874,NA,0,NA,NA,NA,NA,NA,NA
"183",201,193,"St. Vincent Grenadines",17,NA,0,NA,14,3,NA,153,NA,155,1398,110899,NA,0,NA,NA,NA,NA,NA,NA
"184",83,75,"Sudan",2591,NA,105,NA,247,2239,NA,59,2,NA,NA,43719159,NA,4.05248938633732,"759,706","6,342",41801533,0.3,64.1,"314"
"185",211,203,"Suriname",11,NA,1,NA,9,1,NA,19,2,404,689,586006,NA,9.09090909090909,"6875,92","6,230",575991,3.599,71.6,"946"
"186",31,23,"Sweden",30799,422,3743,45,4971,22085,287,3052,371,209900,20799,10091856,NA,12.1529919802591,"51892,079","11,019",10175214,4.478,82.4,"5 700"
"187",32,24,"Switzerland",30618,21,1886,NA,27600,1132,57,3541,218,350099,40487,8647139,NA,6.15977529557776,"86673,501","12,346",8513227,4.312,83.4,"8 217"
"188",182,174,"Syria",58,NA,3,NA,36,19,NA,3,0.2,NA,NA,17446406,NA,5.17241379310345,"no data",NA,16906283,1.641,64.5,NA
"189",137,129,"Taiwan",440,NA,7,NA,401,32,NA,18,0.3,69395,2914,23811805,NA,1.59090909090909,"25525,806",NA,NA,NA,NA,NA
"190",93,85,"Tajikistan",1729,NA,41,NA,NA,1688,NA,182,4,NA,NA,9510530,NA,2.37131289762869,"910,982","7,229",9100837,0.629,69.7,"231"
"191",135,127,"Tanzania",509,NA,21,NA,183,305,7,9,0.4,NA,NA,59512999,NA,4.12573673870334,"1159,304","3,645",56318348,0.231,61.8,"104"
"192",77,69,"Thailand",3033,2,56,NA,2857,120,61,43,0.8,286008,4099,69779718,NA,1.84635674249918,"8193,815","3,746",69428524,4.62,74.9,"671"
"193",193,185,"Timor-Leste",24,NA,0,NA,24,0,NA,18,NA,738,561,1315315,NA,0,"2356,913","3,882",1267972,0.4,68.3,"264"
"194",145,137,"Togo",330,NA,12,NA,106,212,NA,40,1,13452,1630,8254058,NA,3.63636363636364,"713,653","6,200",7889094,0.367,59.9,"104"
"195",170,162,"Trinidad and Tobago",116,NA,8,NA,107,1,NA,83,6,2720,1944,1398962,NA,6.89655172413793,"16757,56","6,979",1389858,33.966,71.2,"2 206"
"196",107,99,"Tunisia",1043,NA,46,1,819,178,3,88,4,41620,3526,11803787,NA,4.41035474592522,"3327,722","7,232",11565204,2.606,75.3,"863"
"197",17,9,"Turkey",150593,NA,4171,NA,111577,34845,903,1788,50,1650135,19591,84230075,NA,2.7697170519214,"9683,565","4,216",82319724,4.48,75.8,"1 181"
"198",207,199,"Turks and Caicos",12,NA,1,NA,10,1,NA,310,26,109,2820,38653,NA,8.33333333333333,NA,NA,NA,NA,NA,NA
"199",36,28,"UAE",25063,873,227,3,10791,14045,1,2538,23,1600923,162103,9875965,NA,0.905717591668994,"37375,271","3,334",9630959,22.94,77.1,"2 469"
"200",153,145,"Uganda",260,12,0,NA,63,197,NA,6,NA,73485,1613,45550580,NA,0,"823,106","6,265",42723139,0.142,62.3,"123"
"201",13,5,"UK",246406,NA,34796,NA,NA,NA,1559,3632,513,2682716,39542,67844241,NA,14.1214093812651,"40391,839","9,632",66460344,6.497,81.2,"4 338"
"202",39,31,"Ukraine",18876,260,548,13,5632,12696,245,431,13,239961,5483,43762985,NA,2.90315744861199,"3881,66","6,995",44622516,5.021,71.3,"585"
"203",122,114,"Uruguay",737,NA,20,NA,569,148,4,212,6,34384,9902,3472331,NA,2.71370420624152,"17818,921","9,296",3449299,1.984,77,"2 102"
"204",9,1,"USA",1550539,245,91985,4,356383,1102171,16868,4688,278,12300744,37188,330774664,NA,5.93245316628605,"67426,835","17,061",326687501,16.503,79.3,"10 246"
"205",79,71,"Uzbekistan",2825,34,13,NA,2338,474,6,85,0.4,460000,13768,33409960,NA,0.460176991150442,"2094,938","6,414",32955400,3.421,69.4,"448"
"206",208,200,"Vatican City",12,NA,0,NA,2,10,NA,14981,NA,NA,NA,801,NA,0,NA,NA,NA,NA,NA,NA
"207",128,120,"Venezuela",618,NA,10,NA,253,355,1,22,0.4,581082,20428,28445034,NA,1.61812297734628,"2427,502","1,181",NA,6.165,74.1,"141"
"208",150,142,"Vietnam",324,NA,0,NA,263,61,2,3,NA,275000,2828,97234232,NA,0,"2954,637","5,532",95540395,1.82,NA,NA
"209",219,211,"Western Sahara",6,NA,0,NA,6,0,NA,10,NA,NA,NA,595462,NA,0,NA,NA,NA,NA,NA,NA
"210",166,158,"Yemen",130,NA,20,NA,1,109,NA,4,0.7,120,4,29742981,NA,15.3846153846154,"709,312",NA,28498687,0.879,65.7,NA
"211",120,112,"Zambia",772,11,7,NA,192,573,1,42,0.4,18519,1011,18317156,NA,0.906735751295337,"1236,192","4,470",17351822,0.292,61.8,"180"
"212",184,176,"Zimbabwe",46,NA,4,NA,18,24,NA,3,0.3,28019,1889,14836491,NA,8.69565217391304,"847,163","6,636",14439018,0.885,67,"201"
